p,n,Time,scaler,speedup
1,2,0.000000001,0,0
1,4,0.000000001,0,0
1,8,0.000000001,0,0
1,16,0.000000001,0,0
1,32,0.001,0,0
1,64,0.001,0,0
1,128,0.009,0.01,1.111111111
1,256,0.074,0.17,2.297297297
1,512,0.682,0.98,1.436950147
1,1024,10.298,12.15,1.179840746
1,2048,121.268,139.66,1.151664083
1,4096,1356.213,1915.1,1.412093823
2,2,0.001,0,0
2,4,0.000000001,0,0
2,8,0.001,0,0
2,16,0.000000001,0,0
2,32,0.000000001,0,0
2,64,0.001,0,0
2,128,0.005,0.01,2
2,256,0.038,0.17,4.473684211
2,512,0.394,0.98,2.487309645
2,1024,5.322,12.15,2.282976325
2,2048,62.135,139.66,2.247686489
2,4096,705.553,1915.1,2.714324792
3,2,0.000000001,0,0
3,4,0.000000001,0,0
3,8,0.001,0,0
3,16,0.000000001,0,0
3,32,0.000000001,0,0
3,64,0.001,0,0
3,128,0.003,0.01,3.333333333
3,256,0.027,0.17,6.296296296
3,512,0.256,0.98,3.828125
3,1024,4.091,12.15,2.969934001
3,2048,49.012,139.66,2.849506243
3,4096,548.975,1915.1,3.488501298
4,2,0.000000001,0,0
4,4,0.000000001,0,0
4,8,0.000000001,0,0
4,16,0.001,0,0
4,32,0.000000001,0,0
4,64,0.000000001,0,0
4,128,0.002,0.01,5
4,256,0.02,0.17,8.5
4,512,0.256,0.98,3.828125
4,1024,3.515,12.15,3.456614509
4,2048,42.665,139.66,3.273409118
4,4096,465.719,1915.1,4.112136288
5,2,0.001,0,0
5,4,0.000000001,0,0
5,8,0.000000001,0,0
5,16,0.000000001,0,0
5,32,0.000000001,0,0
5,64,0.000000001,0,0
5,128,0.003,0.01,3.333333333
5,256,0.03,0.17,5.666666667
5,512,0.233,0.98,4.206008584
5,1024,3.652,12.15,3.32694414
5,2048,39.345,139.66,3.549625111
5,4096,481.581,1915.1,3.976693433
6,2,0.000000001,0,0
6,4,0.000000001,0,0
6,8,0.000000001,0,0
6,16,0.000000001,0,0
6,32,0.000000001,0,0
6,64,0.000000001,0,0
6,128,0.003,0.01,3.333333333
6,256,0.026,0.17,6.538461538
6,512,0.238,0.98,4.117647059
6,1024,4.695,12.15,2.587859425
6,2048,46.654,139.66,2.993526814
6,4096,585.639,1915.1,3.270103255
7,2,0.001,0,0
7,4,0.000000001,0,0
7,8,0.000000001,0,0
7,16,0.000000001,0,0
7,32,0.000000001,0,0
7,64,0.000000001,0,0
7,128,0.002,0.01,5
7,256,0.024,0.17,7.083333333
7,512,0.234,0.98,4.188034188
7,1024,4.122,12.15,2.947598253
7,2048,44.91,139.66,3.109775106
7,4096,561.489,1915.1,3.410752481
8,2,0.000000001,0,0
8,4,0.001,0,0
8,8,0.000000001,0,0
8,16,0.000000001,0,0
8,32,0.000000001,0,0
8,64,0.001,0,0
8,128,0.003,0.01,3.333333333
8,256,0.023,0.17,7.391304348
8,512,0.226,0.98,4.336283186
8,1024,3.879,12.15,3.13225058
8,2048,45.506,139.66,3.06904584
8,4096,529.408,1915.1,3.617436835
