p,n,pi,Error,runtime,scaler,speedup
1,20,3.4,8.225361,0.00000001,0,0
1,200,3.14,0.050696,0.00000001,0,0
1,2000,3.076,2.087879,0.001,0,0
1,20000,3.1272,0.458132,0.001,0.001,3
1,200000,3.14142,0.005496,0.022,0.01,0.454545455
1,2000000,3.140112,0.047131,0.228,0.13,0.570175439
1,20000000,3.14123,0.011556,2.179,13.64,6.25975218
1,200000000,3.141466,0.004034,20.894,144.76,6.928304776
2,20,3.2,1.859164,0.001,0,0
2,200,3.22,2.495783,0.00000001,0,0
2,2000,3.05,2.915485,0.00000001,0,0
2,20000,3.128,0.432668,0.001,0.001,3
2,200000,3.14466,0.097637,0.016,0.01,0.625
2,2000000,3.139436,0.068648,0.097,0.13,1.340206186
2,20000000,3.141456,0.004356,1.187,13.64,11.49115417
2,200000000,3.141445,0.004714,11.729,144.76,12.34205815
3,20,2.4,23.605627,0.00000001,0,0
3,200,3.14,0.050696,0.001,0,0
3,2000,3.088,1.705907,0.00000001,0,0
3,20000,3.1386,0.095259,0.001,0.001,3
3,200000,3.145,0.108459,0.01,0.01,1
3,2000000,3.13966,0.061518,0.075,0.13,1.733333333
3,20000000,3.141679,0.002742,0.792,13.64,17.22222222
3,200000000,3.141402,0.006076,7.951,144.76,18.2065149
4,20,3.4,8.225361,0.00000001,0,0
4,200,3.14,0.050696,0.00000001,0,0
4,2000,3.098,1.387597,0.00000001,0,0
4,20000,3.1262,0.489963,0.001,0.001,3
4,200000,3.13422,0.234679,0.005,0.01,2
4,2000000,3.142106,0.01634,0.07,0.13,1.857142857
4,20000000,3.141892,0.009528,0.641,13.64,21.27925117
4,200000000,3.141465,0.004067,6.45,144.76,22.44341085
5,20,3.2,1.859164,0.00000001,0,0
5,200,3.26,3.769023,0.00000001,0,0
5,2000,3.138,0.114358,0.001,0,0
5,20000,3.1532,0.369473,0.00000001,0.001,0
5,200000,3.13796,0.115631,0.007,0.01,1.428571429
5,2000000,3.142026,0.013794,0.059,0.13,2.203389831
5,20000000,3.140976,0.019635,0.578,13.64,23.59861592
5,200000000,3.14158,0.000412,5.653,144.76,25.60764196
6,20,3.6,14.591559,0.001,0,0
6,200,3.34,6.315502,0.00000001,0,0
6,2000,3.122,0.623654,0.00000001,0,0
6,20000,3.1398,0.057062,0.001,0.001,3
6,200000,3.13994,0.052606,0.005,0.01,2
6,2000000,3.140636,0.030451,0.056,0.13,2.321428571
6,20000000,3.140982,0.019444,0.512,13.64,26.640625
6,200000000,3.14139,0.00645,5.149,144.76,28.11419693
7,20,3.2,1.859164,0.00000001,0,0
7,200,3.2,1.859164,0.00000001,0,0
7,2000,3.096,1.451259,0.00000001,0,0
7,20000,3.1384,0.101625,0.00000001,0.001,0
7,200000,3.1414,0.006132,0.005,0.01,2
7,2000000,3.142926,0.042442,0.05,0.13,2.6
7,20000000,3.141108,0.015421,0.499,13.64,27.33466934
7,200000000,3.141553,0.00127,4.975,144.76,29.09748744
8,20,3,4.507034,0.001,0,0
8,200,3,4.507034,0.00000001,0,0
8,2000,3.178,1.158882,0.00000001,0,0
8,20000,3.1304,0.356273,0.001,0.001,3
8,200000,3.14354,0.061986,0.008,0.01,1.25
8,2000000,3.1442,0.082994,0.077,0.13,1.688311688
8,20000000,3.140469,0.035773,0.46,13.64,29.65217391
8,200000000,3.141464,0.004082,4.669,144.76,31.00449775
